"Code ROME";"libellé métier onisep";"lien site onisep.fr";"Lib_ROME_FT";"lien site FT";"transitionEcologique";"transitionEcologiqueDetaillee";"transitionNumerique";"transitionDemographique"
"A1405";"agent / agente arboricole";"https://www.onisep.fr/http/redirection/metier/slug/MET.793";"Arboriculteur / Arboricultrice";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1405";"Non";"";"Non";"Non"
"A1405";"viticulteur / viticultrice";"https://www.onisep.fr/http/redirection/metier/slug/MET.174";"Arboriculteur / Arboricultrice";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1405";"Non";"";"Non";"Non"
"A1406";"patron pêcheur";"https://www.onisep.fr/http/redirection/metier/slug/MET.801";"Capitaine de pêche";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1406";"Non";"";"Non";"Non"
"A1407";"";"";"Éleveur / Éleveuse de bovins";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1407";"Non";"";"Non";"Non"
"A1408";"éducateur canin / éducatrice canine";"https://www.onisep.fr/http/redirection/metier/slug/MET.964";"Éleveur / Éleveuse d'animaux";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1408";"Non";"";"Non";"Non"
"A1408";"animalier / animalière de laboratoire";"https://www.onisep.fr/http/redirection/metier/slug/MET.320";"Éleveur / Éleveuse d'animaux";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1408";"Non";"";"Non";"Non"
"A1408";"apiculteur / apicultrice";"https://www.onisep.fr/http/redirection/metier/slug/MET.70";"Éleveur / Éleveuse d'animaux";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1408";"Non";"";"Non";"Non"
"A1409";"";"";"Aviculteur / Avicultrice";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1409";"Non";"";"Non";"Non"
"A1410";"berger / bergère";"https://www.onisep.fr/http/redirection/metier/slug/MET.7915";"Éleveur / Éleveuse d'ovins";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1410";"Non";"";"Non";"Non"
"A1411";"";"";"Éleveur / Éleveuse de porcins";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1411";"Non";"";"Non";"Non"
"A1412";"";"";"Fromager / Fromagère";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1412";"Non";"";"Non";"Non"
"A1413";"employé / employée de chai";"https://www.onisep.fr/http/redirection/metier/slug/MET.21";"Brasseur / Brasseuse de bière";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1413";"Non";"";"Non";"Non"
"A1413";"oenologue";"https://www.onisep.fr/http/redirection/metier/slug/MET.159";"Brasseur / Brasseuse de bière";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1413";"Non";"";"Non";"Non"
"A1414";"maraîcher / maraîchère";"https://www.onisep.fr/http/redirection/metier/slug/MET.200";"Horticulteur / Horticultrice";"https://candidat.francetravail.fr/metierscope/fiche-metier/A1414";"Non";"";"Non";"Non"
